,Año,Trimestre,Provincia,Accesos por cada 100 hogares,Nuevo acceso
286,2020,1,Tierra Del Fuego,76.06964979018785,77.59104278599162
287,2020,1,Tucumán,47.84792325850032,48.80488172367033
288,2019,4,Buenos Aires,64.25205288245421,65.53709394010329
289,2019,4,Capital Federal,106.24546751041055,108.37037686061876
290,2019,4,Catamarca,36.43842912715547,37.167197709698584
291,2019,4,Chaco,36.835478630342415,37.57218820294926
292,2019,4,Chubut,51.145017855147124,52.167918212250065
293,2019,4,Córdoba,70.48295566244217,71.89261477569102
294,2019,4,Corrientes,38.767440989262106,39.54278980904735
295,2019,4,Entre Ríos,57.99221691704514,59.152061255386045
296,2019,4,Formosa,30.471313480544048,31.08073975015493
297,2019,4,Jujuy,45.37754633175065,46.28509725838566
298,2019,4,La Pampa,76.92418969170417,78.46267348553826
299,2019,4,La Rioja,47.13589011052434,48.07860791273483
300,2019,4,Mendoza,33.64903072027183,34.32201133467727
301,2019,4,Misiones,39.78923684048622,40.58502157729594
302,2019,4,Neuquén,59.35590092822445,60.54301894678894
303,2019,4,Río Negro,55.70500968287489,56.81910987653239
304,2019,4,Salta,50.35463892238824,51.361731700836
305,2019,4,San Juan,32.85497572815534,33.512075242718446
306,2019,4,San Luis,74.92002603481464,76.41842655551093
307,2019,4,Santa Cruz,36.71136308535834,37.44559034706551
308,2019,4,Santa Fe,69.48235725596862,70.87200440108799
309,2019,4,Santiago Del Estero,42.92077382358182,43.77918930005345
310,2019,4,Tierra Del Fuego,79.69536136377089,81.28926859104631
311,2019,4,Tucumán,47.64902012521289,48.60200052771715
312,2019,3,Buenos Aires,69.35630106079125,70.74342708200707
313,2019,3,Capital Federal,112.6453878037209,114.89829555979532
314,2019,3,Catamarca,30.883614526737205,31.50128681727195
315,2019,3,Chaco,35.8460309754608,36.562951594970016
316,2019,3,Chubut,47.56624162293312,48.51756645539178
317,2019,3,Córdoba,68.59234901069021,69.96419599090402
318,2019,3,Corrientes,38.48535113586719,39.25505815858453
319,2019,3,Entre Ríos,57.90009945796624,59.058101447125566
320,2019,3,Formosa,30.11243299777749,30.71468165773304
321,2019,3,Jujuy,44.322486842913605,45.20893657977188
322,2019,3,La Pampa,77.45269423291748,79.00174811757583
323,2019,3,La Rioja,47.94290512174643,48.90176322418136
324,2019,3,Mendoza,40.73714258735342,41.55188543910049
325,2019,3,Misiones,39.33292986744382,40.1195884647927
326,2019,3,Neuquén,64.13887269491578,65.4216501488141
327,2019,3,Río Negro,63.42470088700958,64.69319490474977
328,2019,3,Salta,44.47617792228716,45.3657014807329
329,2019,3,San Juan,37.06231303554226,37.803559296253106
330,2019,3,San Luis,85.22608876849344,86.93061054386331
331,2019,3,Santa Cruz,35.62816097885956,36.34072419843675
332,2019,3,Santa Fe,68.87178057593026,70.24921618744887
333,2019,3,Santiago Del Estero,55.30391146854541,56.409989697916316
334,2019,3,Tierra Del Fuego,96.46210963092378,98.39135182354225
335,2019,3,Tucumán,39.487600204016815,40.27735220809715
336,2019,2,Buenos Aires,67.84713982374198,69.20408262021682
337,2019,2,Capital Federal,110.54556699485231,112.75647833474936
338,2019,2,Catamarca,32.13095022019278,32.773569224596635
339,2019,2,Chaco,34.14026097986763,34.82306619946498
340,2019,2,Chubut,46.98798413626923,47.92774381899462
341,2019,2,Córdoba,68.07130938789848,69.43273557565645
342,2019,2,Corrientes,38.15558588418795,38.918697601871706
343,2019,2,Entre Ríos,57.47823458872391,58.62779928049839
344,2019,2,Formosa,30.418236006943307,31.026600727082172
345,2019,2,Jujuy,44.511922790626045,45.40216124643857
346,2019,2,La Pampa,77.08313750288404,78.62480025294172
347,2019,2,La Rioja,48.704939144243156,49.67903792712802
348,2019,2,Mendoza,40.754624235362655,41.56971672006991
349,2019,2,Misiones,39.14612554169944,39.92904805253343
350,2019,2,Neuquén,63.080964327674394,64.34258361422788
351,2019,2,Río Negro,61.0942074999118,62.31609164991004
352,2019,2,Salta,41.89319832036978,42.731062286777174
353,2019,2,San Juan,35.59971733748176,36.3117116842314
