,Año,Trimestre,Provincia,Accesos por cada 100 hab
284,2020,1,Santa Fe,21.86132458787361
285,2020,1,Santiago Del Estero,10.539212166838636
286,2020,1,Tierra Del Fuego,22.552553250860385
287,2020,1,Tucumán,11.852464901793745
288,2019,4,Buenos Aires,21.135089381908887
289,2019,4,Capital Federal,44.18705360861236
290,2019,4,Catamarca,9.268865071492511
291,2019,4,Chaco,9.84506318966921
292,2019,4,Chubut,15.677171185926401
293,2019,4,Córdoba,21.57949716642836
294,2019,4,Corrientes,10.208283637368018
295,2019,4,Entre Ríos,17.339132629892976
296,2019,4,Formosa,7.755476118924716
297,2019,4,Jujuy,11.60391510228381
298,2019,4,La Pampa,25.344921847620384
299,2019,4,La Rioja,12.547563567459605
300,2019,4,Mendoza,9.390112733918839
301,2019,4,Misiones,10.837581902491847
302,2019,4,Neuquén,17.668184976921886
303,2019,4,Río Negro,17.13387032217983
304,2019,4,Salta,12.195492805546795
305,2019,4,San Juan,8.36915261267133
306,2019,4,San Luis,21.441352893267833
307,2019,4,Santa Cruz,10.923427797723754
308,2019,4,Santa Fe,21.84835065573258
309,2019,4,Santiago Del Estero,10.651974288337923
310,2019,4,Tierra Del Fuego,23.627546752616215
311,2019,4,Tucumán,11.803181280712074
312,2019,3,Buenos Aires,22.761733615562225
313,2019,3,Capital Federal,46.904770893488056
314,2019,3,Catamarca,7.855954765218487
315,2019,3,Chaco,9.580664387529255
316,2019,3,Chubut,14.580466548718958
317,2019,3,Córdoba,21.000781776953538
318,2019,3,Corrientes,10.134028114178687
319,2019,3,Entre Ríos,17.311661825597923
320,2019,3,Formosa,7.664177713890219
321,2019,3,Jujuy,11.334206981241007
322,2019,3,La Pampa,25.519002705641388
323,2019,3,La Rioja,12.762431790856121
324,2019,3,Mendoza,11.368189016279217
325,2019,3,Misiones,10.713348334458951
326,2019,3,Neuquén,19.092075679641724
327,2019,3,Río Negro,19.508498591229387
328,2019,3,Salta,10.771854623416075
329,2019,3,San Juan,9.440941485226007
330,2019,3,San Luis,24.390971166174673
331,2019,3,Santa Cruz,10.601555192584216
332,2019,3,Santa Fe,21.656424746361633
333,2019,3,Santiago Del Estero,13.725288048364083
334,2019,3,Tierra Del Fuego,28.598925193212118
335,2019,3,Tucumán,9.781574184382116
336,2019,2,Buenos Aires,22.215789484298067
337,2019,2,Capital Federal,46.08592579281094
338,2019,2,Catamarca,8.173397032450584
339,2019,2,Chaco,9.125011329267105
340,2019,2,Chubut,14.403808727896068
341,2019,2,Córdoba,20.841637242238242
342,2019,2,Corrientes,10.047459019420458
343,2019,2,Entre Ríos,17.185820444672466
344,2019,2,Formosa,7.742195783956093
345,2019,2,Jujuy,11.382934590825071
346,2019,2,La Pampa,25.39783989548608
347,2019,2,La Rioja,12.965645588675004
348,2019,2,Mendoza,11.373356541672889
349,2019,2,Misiones,10.662825595018377
350,2019,2,Neuquén,18.777900805620252
351,2019,2,Río Negro,18.792276756346176
352,2019,2,Salta,10.146610869132008
353,2019,2,San Juan,9.068540162527924
354,2019,2,San Luis,23.40822663016059
